time, autocorrelation 
6134, 0.009987
6135, 0.009821
6136, 0.009617
6137, 0.009379
6138, 0.009038
6139, 0.008725
6140, 0.008485
6141, 0.008238
6142, 0.007912
6143, 0.007565
6144, 0.007268
6145, 0.007037
6146, 0.006720
6147, 0.006362
6148, 0.006119
6149, 0.005995
6150, 0.005832
6151, 0.005565
6152, 0.005296
6153, 0.005099
6154, 0.004809
6155, 0.004539
6156, 0.004467
6157, 0.004324
6158, 0.004188
6159, 0.003954
6160, 0.003791
6161, 0.003571
6162, 0.003287
6163, 0.003084
6164, 0.002823
6165, 0.002621
6166, 0.002477
6167, 0.002307
6168, 0.002154
6169, 0.002025
6170, 0.001757
6171, 0.001599
6172, 0.001403
6173, 0.001129
6174, 0.000916
6175, 0.000720
6176, 0.000475
6177, 0.000364
6178, 0.000200
6179, 0.000067
6180, -0.000017
6181, -0.000121
6182, -0.000233
6183, -0.000453
6184, -0.000732
6185, -0.001032
6186, -0.001283
6187, -0.001540
6188, -0.001700
6189, -0.001793
6190, -0.001820
6191, -0.001819
6192, -0.001738
6193, -0.001643
6194, -0.001524
6195, -0.001383
6196, -0.001364
6197, -0.001326
6198, -0.001353
6199, -0.001295
6200, -0.001179
6201, -0.001134
6202, -0.001237
6203, -0.001483
6204, -0.001701
6205, -0.001828
6206, -0.002010
6207, -0.002222
6208, -0.002364
6209, -0.002479
6210, -0.002590
6211, -0.002707
6212, -0.002907
6213, -0.003032
6214, -0.003068
6215, -0.003147
6216, -0.003182
6217, -0.003275
6218, -0.003345
6219, -0.003536
6220, -0.003722
6221, -0.004009
6222, -0.004355
6223, -0.004591
6224, -0.004830
6225, -0.005030
6226, -0.005144
6227, -0.005210
6228, -0.005352
6229, -0.005360
6230, -0.005330
6231, -0.005307
6232, -0.005386
6233, -0.005505
6234, -0.005653
6235, -0.005764
6236, -0.006001
6237, -0.006297
6238, -0.006421
6239, -0.006561
6240, -0.006542
6241, -0.006696
6242, -0.006787
6243, -0.006754
6244, -0.006880
6245, -0.007141
6246, -0.007354
6247, -0.007488
6248, -0.007612
6249, -0.007684
6250, -0.007697
6251, -0.007689
6252, -0.007710
6253, -0.007832
6254, -0.007990
6255, -0.008244
6256, -0.008430
6257, -0.008622
6258, -0.008886
6259, -0.009117
6260, -0.009405
6261, -0.009758
6262, -0.009988
6263, -0.010020
6264, -0.009995
6265, -0.009985
6266, -0.009968
6267, -0.009969
6268, -0.009974
6269, -0.010033
6270, -0.010093
6271, -0.010156
6272, -0.010164
6273, -0.010224
6274, -0.010369
6275, -0.010480
6276, -0.010605
6277, -0.010816
6278, -0.010846
6279, -0.010874
